label,title,content
5,USS Wemootah (SP-201), USS Wemootah (SP-201) was a United States Navy patrol vessel and net tender in commission from 1917 to 1919.Wemootah was built as a civilian motorboat of the same name in 1913 by the Gas Engine and Power Company and the Charles L. Seabury Company at Morris Heights in the Bronx New York. The U.S. Navy purchased her from her owner A. Gardner Cooper of New York City on 16 June 1917 for World War I service as a patrol vessel.
7,Frâncu River, The Frâncu River is a tributary of the Bistra Mărului River in Romania.
11,Purgatory/Paradise, Purgatory/Paradise is the ninth studio album by Throwing Muses. The album was released in the form of a book containing song lyrics artwork and a code to download additional music.
11,Anniversary – 10 Years of Hits, Anniversary – 10 Years of Hits is an album by American country music artist George Jones. This album was released on October 30 1982 on the Epic Records label. This album went gold in 1989. The CD edition was issued in 1990.
5,SS Nordmark, Nordmark was a 987 GRT Coaster that was built as Faust in 1920 by Schiffbau-Gesellschaft Unterweser AG Bremen Germany for German owners. She was renamed Nordmark after a sale in 1930 and was again renamed Angeln in 1936. She was sold in 1944 and renamed Ermland. She was seized by the Allies at Lübeck in May 1945 passed to the Ministry of War Transport (MoWT) and renamed Empire Congerstone. In 1947 she was sold into merchant service and renamed Oakley.
6,Long View Center, The Long View Center is a historic church building located in the Moore Square Historic District of Raleigh North Carolina United States. The facility sits directly across from Moore Square one of two surviving four-acre (1.6 ha) parks from Raleigh's original 1792 plan. Built between 1879 and 1881 Long View was originally known as Tabernacle Baptist Church.
4,Mike Parry (politician), Michael J. Mike Parry (born January 5 1953) is a Minnesota politician and a member of the Minnesota Senate representing District 26 which includes portions of Dodge Freeborn Goodhue Mower Olmsted Rice Steele and Waseca counties in the southeastern part of the state.
7,Steinslandsvatnet, Steinslandsvatnet is a lake in the municipality of Modalen in Hordaland county Norway. The 2.4-square-kilometre (0.93 sq mi) lake is the headwaters of the river Moelva in the center of the Modalen valley. The village of Øvre Helland lies at the southern end of the lake. The Norwegian county road 345 runs along the western shoreline of the lake.
10,Nepenthes 'Dwarf Peacock', Nepenthes 'Dwarf Peacock' is a cultivar of a complex manmade hybrid involving N. khasiana N. ventricosa and a plant identified as N. thorelii. It was bred by Bruce Lee Bednar and Orgel Clyde Bramblett in 1986. This cultivar name is not established as it was published without a description violating Article 24.1 of the International Code of Nomenclature for Cultivated Plants. It first appeared in print in the March 1994 issue of the Carnivorous Plant Newsletter as x “Dwarf Peacock”.
4,Christopher Hum, Sir Christopher Owen Hum KCMG (born 27 January 1946) was the 41st Master of Gonville and Caius College one of the oldest colleges of the University of Cambridge. He held this post from his installation on 16 January 2006 to October 2012 prior to which he was Her Majesty's Ambassador to the People's Republic of China. William Ehrman CMG was appointed as Her Majesty's Ambassador to the People's Republic of China as Hum's successor.
5,USS N-7 (SS-59), USS N-7 (SS-59) was an N-class coastal defense submarine of the United States Navy. Her keel was laid down on 20 April 1915 by Lake Torpedo Boat Company in Bridgeport Connecticut. N-boats built by Lake had slightly different specifications from the ones built by Seattle Construction and Drydock and are sometimes considered a separate class.She was launched on 19 May 1917 sponsored by Mrs Frank Miller and commissioned on 15 June 1918 with Lieutenant Walter S. Kass in command.
1,Manikganj Govt. High School, Provides schooling from class 6 to SSC. Situated in Manikganj. This school started operating from 1884. Its Secondary School. EIIN - 110957 and School Code: 4014.
13,Mayoi Neko Overrun!, Mayoi Neko Overrun! (迷い猫オーバーラン! Mayoi Neko Ōbāran! Stray Cat Overrun!) is a Japanese light novel series by Tomohiro Matsu with illustrations by Peco. Twelve volumes have been published by Shueisha under their Super Dash Bunko imprint. A manga adaptation by Kentaro Yabuki started serialization in the shōnen manga magazine Jump Square on January 4 2010. In this adaptation many characters from Yabuki's previous manga To Love-Ru make cameo appearances.
6,Cathedral of St. Mary of the Annunciation (Cape Girardeau Missouri), The Cathedral of St. Mary of the Annunciation also known as St. Mary’s Cathedral is a Catholic cathedral in Cape Girardeau Missouri United States. Along with St. Agnes Cathedral in Springfield Missouri it is the seat of the Diocese of Springfield-Cape Girardeau.
6,John W. Coffren House and Store, The John W. Coffren House and Store are two historic buildings located at Croom in Prince George's County Maryland. This assemblage is significant for their architecture as well as their association with the commercial history of the area and with John W. Coffren local merchant and landowner. The Coffren House built in 1861 has a Greek Revival entrance and interior detail. The Coffren Store constructed ca. 1853 is a utilitarian structure designed for use as a one-room general store.
11,Get Ready for Eytan!, Get Ready for Eytan! is the second album recorded by singer-songwriter Eytan Mirsky released in 1999.
13,Critical Masses: Opposition to Nuclear Power in California 1958-1978, Critical Masses: Opposition to Nuclear Power in California 1958-1978 is the first detailed history of the anti-nuclear movement in the United States written by Thomas Wellock. It is also the first state-level research on the subject with a focus on California. Reviewer Paula Garb has said:The book is rich with vivid verbal pictures and the passionate voices of participants on all sides of the controversy around the peaceful atom.
1,Laurier School of Business & Economics, The Laurier School of Business & Economics is one of Canada's largest business schools. With more than 5000 students overall it is the largest faculty at Wilfrid Laurier University. The main campus is located in Waterloo Ontario Canada - the heart of Canada's Technology Triangle 100 km (62 mi) west of Toronto - and offers full-time and part-time PhD MBA Master's Economics BBA Bachelor's and Diploma programs. Laurier business also has a second part-time MBA campus located in the St.
5,Bristol XLRQ, The Bristol XLRQ-1 was a 12-seat amphibious glider of the Bristol Aeronautical Corporation New Haven Connecticut (USA) developed for the United States Marine Corps in 1942-43. Only two prototypes were built before the USMC scrapped the idea of glider use in 1943.
6,Old Central Grammar School, The Old Central Grammar School (also known as the Haines City Middle School Annex or Fellowship Dining-Ridge) is a historic school in Haines City Florida. Built in 1925 it was designed by noted architect Edward Columbus Hosford in the Mediterranean Revival and Spanish Revival style. It is located at 801 Ledwith Avenue. On March 17 1994 it was added to the U.S. National Register of Historic Places.
0,The Fresh Market, The Fresh Market is a chain of gourmet supermarkets based in Greensboro North Carolina.
6,Main Street Historic District (Tampico Illinois), The Main Street Historic District in Tampico Illinois United States is a historic district notable as home to the birthplace of Ronald Reagan. The district includes the late 19th century collection of buildings that comprise Tampico's central business district among them are two apartments that the Reagan family occupied in the early 1900s. The buildings in the district went through several periods of rebuilding during the 1870s due to major fires and a tornado.
8,Robotno, Robotno [rɔˈbɔtnɔ] is a village in the administrative district of Gmina Zbiczno within Brodnica County Kuyavian-Pomeranian Voivodeship in north-central Poland. It lies 5 kilometres (3 mi) north of Zbiczno 15 km (9 mi) north of Brodnica and 64 km (40 mi) north-east of Toruń.
13,Lost World (manga), Lost World (ロスト・ワールド<前世紀> Lost World - Zenseiki) is a manga series written and illustrated by Osamu Tezuka.
5,MV Tampa, MV Tampa is a roll-on/roll-off container ship completed in 1984 by Hyundai Heavy Industries Co. Ltd. in South Korea for the Norway based firm Wilhelmsen Lines Shipowning.
2,Terence de Vere White, Terence de Vere White (29 April 1912 – 17 June 1994) was an Irish writer lawyer and editor.Born in Dublin he studied at Trinity College Dublin where he qualified as a solicitor and became a partner in a leading Dublin law firm. He gave up law when he became the literary editor of The Irish Times from 1961 to 1977.
1,Zima Medical Science & Educational Trust, ZIMA Medical Science & Educational Trust (ஜிமா மருத்துவ அறிவியல் & கல்வி அறக்கட்டளை in Tamil) is an Indian Non-Profit and Non-Governmental Organization which was established in 2005 and a registered Society of Tamil Nadu Government.
7,Selemnos, Selemnos (Greek: Σέλεμνος Latin: Selemnus) is a river in the northern part of Achaea Greece. The river flows entirely in the municipal unit of Rio and empties into the Gulf of Patras.
8,Hoseynabad-e Gavahi, Hoseynabad-e Gavahi (Persian: حسين ابادگواهي‎ also Romanized as Ḩoseynābād-e Gavāhī Hosein Abad Gavahi Ḩoseynābād-e Gavānī and Ḩoseynābād Gavāhī; also known as Husainābād) is a village in Mud Rural District Mud District Sarbisheh County South Khorasan Province Iran. At the 2006 census its population was 50 in 19 families.
12,Kizhakku Kadalkarai Salai, Kizhakku Kadalkarai Salai (English: East Coast Road) is a Tamil filmdirected by S. S. Stanley. Srikanth and Bhavana played the lead roles. The film was successful at the Box-office.
1,University of Niš, The University of Niš (Serbian: Универзитет у Нишу / Univerzitet u Nišu) is a university in Niš Serbia. It was founded in 1965 and it consists of 13 faculties with 1500 teachers 630 staff and extracurricular staff and around 30000 students. Since its foundation the university diploma has been acquired by more than 50000 students including 1300 foreigners.It has a university library Nikola Tesla; the Faculty of Technology is in Leskovac and the Teacher-Training Faculty in Vranje.
13,The World in the Evening, Christopher Isherwood writes another quasi-fictional account of love loss and regret in 'The World in the Evening'. As in many Isherwood novels the main character of 'World...' is caught in a contest between his personal egoism and the needs of friends and lovers. This novel is highly popularized because of the narrator's definition of high and low camp—significant concepts to homosexuals.[citation needed]
9,Thyas coronata, Thyas coronata is a species of moth of the Noctuidae family. It is found from the Indo-Australian tropics to Micronesia and the Society Islands.The wingspan is about 60 mm.The larvae feed on Combretum Quisqualis (including Quisqualis indica) Terminalia (including Terminalia catappa) Litsea Anamirta Pinus and Nephelium species. It is considered a pest on Oranges Lemons and other Citrus species.
7,Clark Range (California), The Clark Range is a subrange of California's Sierra Nevada in Yosemite National Park.
8,Silvermines, Silvermines historically known as Bellagowan (Irish: Béal Átha Gabhann) is a village in North Tipperary in Ireland. It lies immediately north of the Silvermine mountain range and takes its name from the extensive mines of lead zinc copper baryte and silver nearby. Towards the very south of the Silvermine Mountains is the highest peak in the mountains Keeper Hill or in Irish Sliabh Cimeálta which rises to 695m dominating the area.
6,One Park Place, One Park Place is a 518 ft (158 m) tall apartment building located adjacent to Discovery Green park in downtown Houston Texas. Completed by The Finger Companies in May 2009 the building has 340 units on 30 floors with a total height of 501 feet (153 m) and 37 floors.The building has 346 apartment units. The ground floor has retail shops and restaurants while the six floors immediately above the ground floor have secure parking.
7,Hawdon River, The Hawdon River is a river of New Zealand. One of the headwaters of Canterbury's Waimakariri River it flows south through Arthur's Pass National Park reaching the Waimakariri to the north of the settlement of Cass.
6,Portsmouth Friends Meetinghouse Parsonage and Cemetery, Portsmouth Friends Meetinghouse Parsonage and Cemetery (also known as Portsmouth Friends Meeting House or Portsmouth Evangelical Friends Church) is a historic Friends Meeting House and cemetery of the Religious Society of Friends (Quakers) at 11 Middle Road and 2232 E. Main Road in Portsmouth Rhode Island.In 1638 exiled religious dissidents from Massachusetts founded Portsmouth the second oldest colonial community in Rhode Island.
5,Stardust (spacecraft), Stardust was a 300-kilogram robotic space probe launched by NASA on February 7 1999. Its primary mission was to collect dust samples from the coma of comet Wild 2 as well as samples of cosmic dust and return these to Earth for analysis. It was the first sample return mission of its kind. En route to Comet Wild 2 the craft also flew by and studied the asteroid 5535 Annefrank.
13,Japanese: The Spoken Language, Japanese: The Spoken Language (JSL) is an introductory textbook series for learning Japanese. JSL was written by Eleanor Harz Jorden in collaboration with Mari Noda. Part 1 was published in 1987 by Yale Language Press Part 2 in 1988 and Part 3 in 1990.
4,Ian Alistair Mackenzie, Ian Alistair Mackenzie PC (July 27 1890 – September 2 1949) was a Canadian parliamentarian.Born in Assynt Scotland Mackenzie entered politics by winning a seat in the Legislative Assembly of British Columbia (BC) in the 1920 BC election. In 1930 he was appointed to Prime Minister William Lyon Mackenzie King's pre-election Cabinet as Minister of Immigration and Colonization and Superintendent of Indian Affairs.
9,Somatina centrofasciaria, Somatina centrofasciaria is a moth of the Geometridae family. It is found in central China.
12,20000 Days on Earth, 20000 Days on Earth is a 2014 British documentary film co-written and directed by Iain Forsyth and Jane Pollard. Nick Cave also co-wrote the script with Forsyth and Pollard. The film premiered in-competition in the World Cinema Documentary Competition at 2014 Sundance Film Festival on January 20 2014. It won two Awards at the festival.After its premiere at Sundance Film Festival Drafthouse Films acquired distribution rights of the film.
0,Fella-Werke, Fella-Werke GmbH is a German forage harvesting company based in Feucht Germany (located just southwest of Nuremberg in Bavaria). It was established in 1918 as a harrow manufacturing company but since then has been through many changes. Currently Fella has the industry's largest product range of mowers tedders and rakes.[citation needed] The machines are a vibrant red color with safety tarps in a bright yellow color.
4,Tom Walters (politician), Tom Walters is an American politician and a Republican member of the Wyoming House of Representatives representing District 38 since January 8 2013. Walters was a candidate for the Wyoming Senate District 30 seat in 2004 and 2008.
3,Alfons Masella, Alfons Masella is a Tongan rugby league player who represented his country in the 2000 World Cup.
10,Mexipedium, Mexipedium is a monotypic genus of the Orchid family Orchidaceae subfamily Cypripedioideae consisting of only one species Mexipedium xerophyticum. It is also the single genus of tribe Mexipedieae and subtribe Mexipediinae. This species was initially described as Phragmipedium xerophyticum by Soto Arenas Salazar & Hágsater in 1990 but transferred to its own genus by Albert & Chase in 1992 in part based on results from DNA analysis.
11,Torn from the Grave, Torn from the Grave is a compilation album by death metal band Autopsy.
1,Miller College of Business, The Miller College of Business (MCOB) is the business college of Ball State University in Muncie Indiana.
10,Clermontia oblongifolia, Clermontia oblongifolia is a species of flowering plant in the bellflower family known by the common name Oahu clermontia. It is one of several Hawaiian lobelioids in genus Clermontia that are known as ʻoha wai. This plant is native to three of the Hawaiian Islands where one subspecies is not uncommon but the other two are very rare and endangered.The more common subspecies ssp.
3,Emma Carney, Emma Elizabeth Carney (born 29 July 1971) is an Australian former professional triathlete and two time World Triathlon Champion. She is one of the few triathletes in the world to have won two ITU world titles. She was the world number one triathlete according to ITU rankings in 1995 1996 and 1997 and achieved 19 World Cup wins more than any other triathlete except Vanessa Fernandes.
10,Dichaetophora (plant), Dichaetophora is a genus of flowering plants in the daisy family.
5,Aeritalia G.222, The Aeritalia G.222 (formerly Fiat Aviazione later Alenia Aeronautica) is a medium-sized STOL military transport aircraft. It was developed to meet a NATO specification but Italy was initially the only NATO member to adopt the type. The United States purchased a small number of G.222s designating them the C-27A Spartan.A modernised variant the Alenia C-27J Spartan has been developed.
9,Hyelaphus, Hyelaphus is a genus of relatively small South and Southeast Asia deer that are overall brown. The three species are all threatened and two of the species are restricted to a few small islands. Originally considered a subgenus of Axis genetic evidence indicates that Hyelaphus is closer to the genus Rusa than Axis. Consequently Hyelaphus was elevated to genus status leaving the chital as the only member of Axis.
8,Suchowizna, Suchowizna [suxɔˈvizna] is a village in the administrative district of Gmina Stanisławów within Mińsk County Masovian Voivodeship in east-central Poland. It lies approximately 3 kilometres (2 mi) south-west of Stanisławów 10 km (6 mi) north of Mińsk Mazowiecki and 37 km (23 mi) east of Warsaw.
13,Soor Rahu De, Soor Rahu De is a Marathi play directed by Mohan Jawade & Mangesh Kadam and written by Sha. Na. Navre. The star cast includes Sunil Barve Shubhangi Gokhale Kshitij Jharapkar Sanjay Mone Shruti Pandya.The play is an emotional drama with a social message.
3,Timo Koskela, Timo Koskela is a Finnish ice hockey player who currently plays in Switzerland for GCK Lions of the NLB. He also used to play for Tappara of the SM-liiga.
4,Michael Merrifield, Michael Merrifield is an American politician from the U.S. state of Colorado. He served four terms (2004-2010) as a Representative in House District 18. He was chairman of the House Education Committee and also served on the House Transportation and Energy Committee. After leaving the legislature in 2010 due to term limits he campaigned to serve as an El Paso County Commissioner in District 5 but lost.
4,Charles Melvin Price, Charles Melvin Price (January 1 1905 - April 22 1988) was a longtime member of the United States House of Representatives. Most notably he served as the chairman of the United States House Committee on Armed Services between 1975 and 1985. He lost this position at the beginning of the 99th Congress. Overthrowing a committee chairman was not a common occurrence at that time but a majority of the House Democratic Caucus seemed to feel that the aged Price was no longer up to the job.
4,Robert F. Thompson, Robert F. Thompson (born June 19 1971) is a Democratic member of the Arkansas Senate representing the 11th District from 2007 to 2013 when he was switched to District 20. This district includes several counties in northeast Arkansas. From 2005 to 2007 he was a State Representative for the 78th district of the Arkansas House of Representatives representing the city of Paragould in Greene County Arkansas.
13,Loot (play), Loot is a two-act play by the English playwright Joe Orton. The play is a dark farce that satirises the Roman Catholic Church social attitudes to death and the integrity of the police force.Loot was Orton's third major production following Entertaining Mr Sloane and the television play The Good and Faithful Servant. Playing with the conventions of popular farce Orton creates a hectic world and examines English attitudes and perceptions in the mid twentieth century.
9,Calamistis, Calamistis is a genus of moths of the Noctuidae family.
3,Cameron Wurf, Cameron Wurf (born 3 August 1983) is a professional Australian road cyclist who currently rides for the Cannondale team.Before becoming a professional road cyclist Wurf was an Olympic lightweight rower and represented Australia at the 2004 Olympics in the men's lightweight double scull.Wurf left the Champion System team at the end of the 2012 season – having joined the squad at the start of the season – and joined Cannondale for the 2013 season.
10,Buddleja 'Hinebud 2' = Purple Splendor, Buddleja 'Hinebud 2' selling name Purple Splendor (Splendor Purple in Europe) is one of a new (2012) series of hybrid cultivars raised by Peter Podaras at the Hines Nursery Laguna Hills CA.
1,Augusta College (Kentucky), From 1822 to 1849 Augusta College was located in Augusta Kentucky in Bracken County. It was formed when the Bracken Academy and Methodist churches of Ohio and Kentucky joined. Augusta College was the third Methodist college founded in the United States. Its first president was Martin Ruter D.D. It usually had enrollment of about 175–305 pupils. Among many who attended the college were Edward J.
0,Pandora TV, Pandora TV (판도라TV) is a video sharing website that hosts user-generated content. Founded in October 2004 Pandora TV is the first video sharing website in the world to attach advertisement to user-submitted video clips and to provide unlimited storage space for users to upload. The operating company Pandora TV Co. Ltd. has its headquarters in the Seoul-Gangnam Building in Yeoksam-dong Gangnam-gu Seoul.In 2007 it was the fastest growing website in South Korea.
2,Chris McLernon, Chris McLernon is the current bassist of the band Saigon Kick.
1,Elmwood Park Memorial High School, Elmwood Park Memorial High School is a four-year comprehensive public high school that serves students in ninth through twelfth grade from Elmwood Park in Bergen County New Jersey United States operating as part of the Elmwood Park Public Schools.
6,Calico Rock Methodist Episcopal Church, Calico Rock Methodist Episcopal Church is a historic church at 101 W. 1st in Calico Rock Arkansas.It was built in 1924 and added to the National Register in 2007.
6,Perry Carnegie Library Building, The Perry Carnegie Library Building in Perry Iowa is a building from 1908. It was listed on the National Register of Historic Places in 1996.
8,Sankranti Bazar, Sankranti Bazar is a village development committee in the Himalayas of Terhathum District in the Kosi Zone of eastern Nepal. At the time of the 1991 Nepal census it had a population of 3266 people living in 622 individual households. Once a thriving market town by 2001 the village had declined because road construction had bypassed them and because of Maoist activity.
3,Mamoudou Mara, Mamoudou Mara (born 31 December 1990) is a Guinean professional footballer who currently plays as a defender for French Ligue 2 side Arles-Avignon.
2,Duke (musician), Duke (born Mark Carson Adams) is a British singer songwriter and producer who was born and raised in England.He had two Top 10 hits on the Billboard Hot Dance Music/Club Play chart: His deep house version of So In Love With You which was his biggest hit reaching #1 in 1997 and his follow-up Greater which peaked at #9 in 1998.Mark Adams was born & bred in the West End in Newcastle-upon-Tyne which is in the North East of England.
5,USS Snark (SP-1291), USS Snark (SP-1291) was a United States Navy patrol vessel in commission from 1917 to 1919.Snark was built in 1917 by the Herreshoff Manufacturing Company at Bristol Rhode Island as a private motorboat for Carl Tucker of New York City one of nine 62-foot 4-inch (19-meter) motorboats the company built for private owners specifically for use as patrol boats in time of war. Accordingly the U.S.
13,Auriol (novel), Auriol: or The Elixir of Life is a novel by British historical novelist William Harrison Ainsworth. It was first published in 1844 in serial form under the title Revelations of London.Auriol written 1844 is slightly unusual in the Ainsworth repertoire as the action is entirely couched as a fantasy so that the supernatural element (which occurs also for instance in his Guy Fawkes and his Windsor Castle) can take comparatively free rein.
9,Fusus follicus, Fusus follicus is a species of sea snail a marine gastropod mollusk in the family Fasciolariidae the spindle snails the tulip snails and their allies.
3,Harry Mallin, Henry William Harry Mallin (1 June 1892 – 8 November 1969) was an English middleweight amateur boxer.He came originally from Hackney Wick; later he lived in Dartmouth Park North London and died at a nursing home in Lewisham. Mallin was British Champion five years in a row from 1919 to 1923. He was also world champion in the middleweight class between 1920 and 1928.
6,Isaac Cox Cobblestone Farmstead, Isaac Cox Cobblestone Farmstead also known as the Letson Farm is a historic home and farm complex located in the town of Wheatland near Scottsville in Monroe County New York. The complex includes a Federal style cobblestone farmhouse built about 1838. It is constructed of small to medium sized field cobbles and is one of seven surviving cobblestone buildings in the town of Wheatland.
10,Bellida, Bellida is a monotypic genus of flowering plants in the aster family Asteraceae containing the single species Bellida graminea. It is native to Western Australia. Its common name is rosy bellida.
11,Complex EP, Complex is an extended play released in 1985 by Rifle Sport on Ruthless Records.
3,Henri Kontinen, Henri Kontinen (born 19 June 1990 in Helsinki) is a Finnish tennis player. His highest ranking is World No. 220 which he attained in October 2010. His brother Micke is also a tennis player.
11,Summer EP (Sherwood EP), Summer EP is a 2006 release by the indie rock band Sherwood. During the spring of 2006 AbsolutePunk.net offered a 5 song version of this album to download for free. Later that year a physical version with two extra tracks was released for sale at the band's live performances and online.
13,A World to Win (Sinclair novel), A World to Win is the seventh novel in Upton Sinclair's Lanny Budd series. First published in 1946 the story covers the period from 1940 to 1942.
1,Berg Upper Secondary School, Berg Upper Secondary School known in Norwegian as Berg videregående skole is an upper secondary school located in Oslo Norway. The school was established in 1925 and provides education leading to the International Baccalaureate (IB) Diploma as well as the college preparatory studiespesialisering of the Norwegian school system. It currently has around 465 students - 108 graduating in the Norwegian system and 55 graduating with IB Diplomas each year.
